x,y
0.0,20.0
0.25,28.3
0.5,32.1
0.75,44.8
1.0,52.2
1.25,64.0
1.5,92.1
1.75,104.0
2.0,127.0
2.25,156.0
2.5,198.0
2.75,238.0
3.0,289.0
3.25,310.0
3.5,375.0
3.75,359.0
4.0,369.0
4.25,423.0
4.5,542.0
4.75,629.0
5.0,470.0
5.25,325.0
5.5,288.0
5.75,279.0
6.0,289.0
6.25,203.0
6.5,165.0
6.75,128.0
7.0,103.0
7.25,80.5
7.5,64.7
7.75,49.3
8.0,41.1
8.25,32.1
8.5,27.4
8.75,21.3
9.0,16.4
9.25,14.9
9.5,10.7
9.75,8.54
10.0,6.79
